label,name,id,abstract,substitution_group,type,period,balance,nillable,facets,documentation
Disclosure of analysis of single amount of discontinued operations [table],DisclosureOfAnalysisOfSingleAmountOfDiscontinuedOperationsTable,ifrs-full_DisclosureOfAnalysisOfSingleAmountOfDiscontinuedOperationsTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to the analysis of the single amount of discontinued operations.
Disclosure of analysis of single amount of discontinued operations [text block],DisclosureOfAnalysisOfSingleAmountOfDiscontinuedOperationsExplanatory,ifrs-full_DisclosureOfAnalysisOfSingleAmountOfDiscontinuedOperationsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the analysis of the single amount of discontinued operations. [Refer: Discontinued operations [member]]
Disclosure of assets and liabilities with significant risk of material adjustment [abstract],DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentAbstract,ifrs-full_DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of assets and liabilities with significant risk of material adjustment [line items],DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentLineItems,ifrs-full_DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of assets and liabilities with significant risk of material adjustment [table],DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentTable,ifrs-full_DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to assets and liabilities with a significant risk of material adjustment.
Disclosure of assets and liabilities with significant risk of material adjustment [text block],DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentExplanatory,ifrs-full_DisclosureOfAssetsAndLiabilitiesWithSignificantRiskOfMaterialAdjustmentExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of assets and liabilities for which there exists a significant risk of material adjustment within the next year.
Disclosure of assets recognised from costs to obtain or fulfil contracts with customers [abstract],DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersAbstract,ifrs-full_DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of assets recognised from costs to obtain or fulfil contracts with customers [line items],DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersLineItems,ifrs-full_DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of assets recognised from costs to obtain or fulfil contracts with customers [table],DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersTable,ifrs-full_DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to assets recognised from the costs to obtain or fulfil contracts with customers.
Disclosure of assets recognised from costs to obtain or fulfil contracts with customers [text block],DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersExplanatory,ifrs-full_DisclosureOfAssetsRecognisedFromCostsToObtainOrFulfilContractsWithCustomersExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of assets recognised from the costs to obtain or fulfil contracts with customers.
Disclosure of associates [abstract],DisclosureOfSignificantInvestmentsInAssociatesAbstract,ifrs-full_DisclosureOfSignificantInvestmentsInAssociatesAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of associates [line items],DisclosureOfSignificantInvestmentsInAssociatesLineItems,ifrs-full_DisclosureOfSignificantInvestmentsInAssociatesLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of associates [table],DisclosureOfSignificantInvestmentsInAssociatesTable,ifrs-full_DisclosureOfSignificantInvestmentsInAssociatesTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to associates.
Disclosure of associates [text block],DisclosureOfSignificantInvestmentsInAssociatesExplanatory,ifrs-full_DisclosureOfSignificantInvestmentsInAssociatesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of associates. [Refer: Associates [member]]
Disclosure of attribution of expenses by nature to their function [abstract],DisclosureOfAttributionOfExpensesByNatureToTheirFunctionAbstract,ifrs-full_DisclosureOfAttributionOfExpensesByNatureToTheirFunctionAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of attribution of expenses by nature to their function [line items],DisclosureOfAttributionOfExpensesByNatureToTheirFunctionLineItems,ifrs-full_DisclosureOfAttributionOfExpensesByNatureToTheirFunctionLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of attribution of expenses by nature to their function [table],DisclosureOfAttributionOfExpensesByNatureToTheirFunctionTable,ifrs-full_DisclosureOfAttributionOfExpensesByNatureToTheirFunctionTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to attribution of expenses by nature to analysis of expenses by function in the statement of profit or loss.
Disclosure of attribution of expenses by nature to their function [text block],DisclosureOfAttributionOfExpensesByNatureToTheirFunctionExplanatory,ifrs-full_DisclosureOfAttributionOfExpensesByNatureToTheirFunctionExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of attribution of expenses by nature to line items by function in the statement of profit or loss.
Disclosure of auditors' remuneration [text block],DisclosureOfAuditorsRemunerationExplanatory,ifrs-full_DisclosureOfAuditorsRemunerationExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of compensation to the entity's auditors.
Disclosure of authorisation of financial statements [text block],DisclosureOfAuthorisationOfFinancialStatementsExplanatory,ifrs-full_DisclosureOfAuthorisationOfFinancialStatementsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the authorisation of financial statements for issue.
Disclosure of available-for-sale financial assets [text block],DisclosureOfAvailableforsaleAssetsExplanatory,ifrs-full_DisclosureOfAvailableforsaleAssetsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of financial assets classified as available for sale. [Refer: Financial assets available-for-sale]
Disclosure of basis of consolidation [text block],DisclosureOfBasisOfConsolidationExplanatory,ifrs-full_DisclosureOfBasisOfConsolidationExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the basis used for consolidation.
Disclosure of basis of preparation of financial statements [text block],DisclosureOfBasisOfPreparationOfFinancialStatementsExplanatory,ifrs-full_DisclosureOfBasisOfPreparationOfFinancialStatementsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the basis used for the preparation of the financial statements.
"Disclosure of biological assets, agriculture produce at point of harvest and government grants related to biological assets [text block]",DisclosureOfBiologicalAssetsAndGovernmentGrantsForAgriculturalActivityExplanatory,ifrs-full_DisclosureOfBiologicalAssetsAndGovernmentGrantsForAgriculturalActivityExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,"The entire disclosure for biological assets, agricultural produce at point of harvest and government grants related to biological assets."
Disclosure of borrowing costs [text block],DisclosureOfBorrowingCostsExplanatory,ifrs-full_DisclosureOfBorrowingCostsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The entire disclosure for borrowing costs.
Disclosure of borrowings [text block],DisclosureOfBorrowingsExplanatory,ifrs-full_DisclosureOfBorrowingsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of borrowings. [Refer: Borrowings]
"Disclosure of breakdown of assets and liabilities aggregated into single line investment balance, transition from proportionate consolidation to equity method [text block]",DisclosureOfBreakdownOfAssetsAndLiabilitiesAggregatedIntoSingleLineInvestmentBalanceTransitionFromProportionateConsolidationToEquityMethodExplanatory,ifrs-full_DisclosureOfBreakdownOfAssetsAndLiabilitiesAggregatedIntoSingleLineInvestmentBalanceTransitionFromProportionateConsolidationToEquityMethodExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the breakdown of assets and liabilities that have been aggregated into the single line investment balance for the transition from proportionate consolidation to the equity method.
Disclosure of business combinations [text block],DisclosureOfBusinessCombinationsExplanatory,ifrs-full_DisclosureOfBusinessCombinationsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The entire disclosure for business combinations.
Disclosure of cash and bank balances at central banks [text block],DisclosureOfCashAndBankBalancesAtCentralBanksExplanatory,ifrs-full_DisclosureOfCashAndBankBalancesAtCentralBanksExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of cash and bank balances at central banks.
Disclosure of cash and cash equivalents [text block],DisclosureOfCashAndCashEquivalentsExplanatory,ifrs-full_DisclosureOfCashAndCashEquivalentsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of cash and cash equivalents. [Refer: Cash and cash equivalents]
Disclosure of cash flow statement [text block],DisclosureOfCashFlowStatementExplanatory,ifrs-full_DisclosureOfCashFlowStatementExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The entire disclosure for a statement of cash flows.
Disclosure of changes in accounting estimates [abstract],DisclosureOfChangesInAccountingEstimatesAbstract,ifrs-full_DisclosureOfChangesInAccountingEstimatesAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of changes in accounting estimates [line items],DisclosureOfChangesInAccountingEstimatesLineItems,ifrs-full_DisclosureOfChangesInAccountingEstimatesLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of changes in accounting estimates [table],DisclosureOfChangesInAccountingEstimatesTable,ifrs-full_DisclosureOfChangesInAccountingEstimatesTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to the changes in accounting estimates.
Disclosure of changes in accounting estimates [text block],DisclosureOfChangesInAccountingEstimatesExplanatory,ifrs-full_DisclosureOfChangesInAccountingEstimatesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of changes in accounting estimates.
Disclosure of changes in accounting policies [text block],DisclosureOfChangesInAccountingPoliciesExplanatory,ifrs-full_DisclosureOfChangesInAccountingPoliciesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of changes made to accounting policies by the entity.
"Disclosure of changes in accounting policies, accounting estimates and errors [text block]",DisclosureOfChangesInAccountingPoliciesAccountingEstimatesAndErrorsExplanatory,ifrs-full_DisclosureOfChangesInAccountingPoliciesAccountingEstimatesAndErrorsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,"The entire disclosure for changes in accounting policies, accounting estimates and errors."
Disclosure of claims and benefits paid [text block],DisclosureOfClaimsAndBenefitsPaidExplanatory,ifrs-full_DisclosureOfClaimsAndBenefitsPaidExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of claims and benefits paid to policyholders.
Disclosure of classes of share capital [abstract],DisclosureOfClassesOfShareCapitalAbstract,ifrs-full_DisclosureOfClassesOfShareCapitalAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of classes of share capital [line items],DisclosureOfClassesOfShareCapitalLineItems,ifrs-full_DisclosureOfClassesOfShareCapitalLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of classes of share capital [table],DisclosureOfClassesOfShareCapitalTable,ifrs-full_DisclosureOfClassesOfShareCapitalTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to classes of share capital.
Disclosure of classes of share capital [text block],DisclosureOfClassesOfShareCapitalExplanatory,ifrs-full_DisclosureOfClassesOfShareCapitalExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of classes of share capital. [Refer: Share capital [member]]
Disclosure of collateral [text block],DisclosureOfCollateralExplanatory,ifrs-full_DisclosureOfCollateralExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of assets and liabilities used as collateral.
Disclosure of commitments [text block],DisclosureOfCommitmentsExplanatory,ifrs-full_DisclosureOfCommitmentsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of commitments.
Disclosure of commitments and contingent liabilities [text block],DisclosureOfCommitmentsAndContingentLiabilitiesExplanatory,ifrs-full_DisclosureOfCommitmentsAndContingentLiabilitiesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of commitments and contingent liabilities. [Refer: Contingent liabilities [member]]
Disclosure of comparative information prepared under previous GAAP [abstract],DisclosureOfComparativeInformationPreparedUnderPreviousGAAPAbstract,ifrs-full_DisclosureOfComparativeInformationPreparedUnderPreviousGAAPAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of comparative information prepared under previous GAAP [line items],DisclosureOfComparativeInformationPreparedUnderPreviousGAAPLineItems,ifrs-full_DisclosureOfComparativeInformationPreparedUnderPreviousGAAPLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of comparative information prepared under previous GAAP [table],DisclosureOfComparativeInformationPreparedUnderPreviousGAAPTable,ifrs-full_DisclosureOfComparativeInformationPreparedUnderPreviousGAAPTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to comparative information prepared under previous GAAP.
Disclosure of comparative information prepared under previous GAAP [text block],DisclosureOfComparativeInformationPreparedUnderPreviousGAAPExplanatory,ifrs-full_DisclosureOfComparativeInformationPreparedUnderPreviousGAAPExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,"The disclosure, in the entity's first IFRS financial statements, of comparative information prepared under previous GAAP."
Disclosure of composition of group [text block],DisclosureOfCompositionOfGroupExplanatory,ifrs-full_DisclosureOfCompositionOfGroupExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the composition of the group (the parent and all its subsidiaries). [Refer: Subsidiaries [member]; Parent [member]]
Disclosure of contingent liabilities [abstract],DisclosureOfContingentLiabilitiesAbstract,ifrs-full_DisclosureOfContingentLiabilitiesAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of contingent liabilities [line items],DisclosureOfContingentLiabilitiesLineItems,ifrs-full_DisclosureOfContingentLiabilitiesLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of contingent liabilities [table],DisclosureOfContingentLiabilitiesTable,ifrs-full_DisclosureOfContingentLiabilitiesTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to contingent liabilities.
Disclosure of contingent liabilities [text block],DisclosureOfContingentLiabilitiesExplanatory,ifrs-full_DisclosureOfContingentLiabilitiesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of contingent liabilities. [Refer: Contingent liabilities [member]]
Disclosure of contingent liabilities in business combination [abstract],DisclosureOfContingentLiabilitiesInBusinessCombinationAbstract,ifrs-full_DisclosureOfContingentLiabilitiesInBusinessCombinationAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of contingent liabilities in business combination [line items],DisclosureOfContingentLiabilitiesInBusinessCombinationLineItems,ifrs-full_DisclosureOfContingentLiabilitiesInBusinessCombinationLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of contingent liabilities in business combination [table],DisclosureOfContingentLiabilitiesInBusinessCombinationTable,ifrs-full_DisclosureOfContingentLiabilitiesInBusinessCombinationTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to contingent liabilities in business combinations.
Disclosure of contingent liabilities in business combination [text block],DisclosureOfContingentLiabilitiesInBusinessCombinationExplanatory,ifrs-full_DisclosureOfContingentLiabilitiesInBusinessCombinationExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of contingent liabilities in a business combination. [Refer: Contingent liabilities [member]; Business combinations [member]]
Disclosure of continuing involvement in derecognised financial assets [abstract],DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsAbstract,ifrs-full_DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of continuing involvement in derecognised financial assets [line items],DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsLineItems,ifrs-full_DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of continuing involvement in derecognised financial assets [table],DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsTable,ifrs-full_DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to continuing involvement in derecognised financial assets.
Disclosure of continuing involvement in derecognised financial assets [text block],DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsExplanatory,ifrs-full_DisclosureOfContinuingInvolvementInDerecognisedFinancialAssetsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of continuing involvement in derecognised financial assets. [Refer: Financial assets]
Disclosure of cost of sales [text block],DisclosureOfCostOfSalesExplanatory,ifrs-full_DisclosureOfCostOfSalesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the cost of sales. [Refer: Cost of sales]
Disclosure of credit risk [text block],DisclosureOfCreditRiskExplanatory,ifrs-full_DisclosureOfCreditRiskExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of credit risk. [Refer: Credit risk [member]]
Disclosure of credit risk exposure [abstract],DisclosureOfCreditRiskExposureAbstract,ifrs-full_DisclosureOfCreditRiskExposureAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of credit risk exposure [line items],DisclosureOfCreditRiskExposureLineItems,ifrs-full_DisclosureOfCreditRiskExposureLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of credit risk exposure [table],DisclosureOfCreditRiskExposureTable,ifrs-full_DisclosureOfCreditRiskExposureTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to the credit risk exposure.
Disclosure of credit risk exposure [text block],DisclosureOfCreditRiskExposureExplanatory,ifrs-full_DisclosureOfCreditRiskExposureExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of the credit risk exposure. Credit risk exposure is the credit risk inherent in an entity’s financial assets and commitments to extend credit.
Disclosure of credit risk of insurance contracts [text block],DisclosureOfCreditRiskOfInsuranceContractsExplanatory,ifrs-full_DisclosureOfCreditRiskOfInsuranceContractsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of information about the credit risk of insurance contracts. [Refer: Credit risk [member]; Types of insurance contracts [member]]
Disclosure of debt instruments [text block],DisclosureOfDebtSecuritiesExplanatory,ifrs-full_DisclosureOfDebtSecuritiesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of debt instruments. [Refer: Debt instruments issued; Debt instruments held]
Disclosure of deferred acquisition costs arising from insurance contracts [text block],DisclosureOfDeferredAcquisitionCostsArisingFromInsuranceContractsExplanatory,ifrs-full_DisclosureOfDeferredAcquisitionCostsArisingFromInsuranceContractsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of deferred acquisition costs arising from insurance contracts. [Refer: Deferred acquisition costs arising from insurance contracts]
Disclosure of deferred income [text block],DisclosureOfDeferredIncomeExplanatory,ifrs-full_DisclosureOfDeferredIncomeExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of deferred income. [Refer: Deferred income including contract liabilities]
Disclosure of deferred taxes [text block],DisclosureOfDeferredTaxesExplanatory,ifrs-full_DisclosureOfDeferredTaxesExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of deferred taxes. [Refer: Deferred tax liabilities; Deferred tax assets]
Disclosure of defined benefit plans [abstract],DisclosureOfDefinedBenefitPlansAbstract,ifrs-full_DisclosureOfDefinedBenefitPlansAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of defined benefit plans [line items],DisclosureOfDefinedBenefitPlansLineItems,ifrs-full_DisclosureOfDefinedBenefitPlansLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of defined benefit plans [table],DisclosureOfDefinedBenefitPlansTable,ifrs-full_DisclosureOfDefinedBenefitPlansTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to defined benefit plans.
Disclosure of defined benefit plans [text block],DisclosureOfDefinedBenefitPlansExplanatory,ifrs-full_DisclosureOfDefinedBenefitPlansExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of defined benefit plans. [Refer: Defined benefit plans [member]]
Disclosure of defined contribution plans [text block],DisclosureOfDefinedContributionPlansExplanatory,ifrs-full_DisclosureOfDefinedContributionPlansExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,"The disclosure of defined contribution plans. [Refer: Post-employment benefit expense, defined contribution plans]"
Disclosure of depositary receipts [abstract],DisclosureOfDepositaryReceiptsAbstract,ifrs-full_DisclosureOfDepositaryReceiptsAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of depositary receipts [line items],DisclosureOfDepositaryReceiptsLineItems,ifrs-full_DisclosureOfDepositaryReceiptsLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of depositary receipts [table],DisclosureOfDepositaryReceiptsTable,ifrs-full_DisclosureOfDepositaryReceiptsTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information about depositary receipts.
Disclosure of depositary receipts [text block],DisclosureOfDepositaryReceiptsExplanatory,ifrs-full_DisclosureOfDepositaryReceiptsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of information about depositary receipts.
Disclosure of deposits from banks [text block],DisclosureOfDepositsFromBanksExplanatory,ifrs-full_DisclosureOfDepositsFromBanksExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of deposits from banks. [Refer: Deposits from banks]
Disclosure of deposits from customers [text block],DisclosureOfDepositsFromCustomersExplanatory,ifrs-full_DisclosureOfDepositsFromCustomersExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of deposits from customers. [Refer: Deposits from customers]
Disclosure of depreciation and amortisation expense [text block],DisclosureOfDepreciationAndAmortisationExpenseExplanatory,ifrs-full_DisclosureOfDepreciationAndAmortisationExpenseExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of depreciation and amortisation expense. [Refer: Depreciation and amortisation expense]
Disclosure of derivative financial instruments [text block],DisclosureOfDerivativeFinancialInstrumentsExplanatory,ifrs-full_DisclosureOfDerivativeFinancialInstrumentsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of derivative financial instruments. [Refer: Derivatives [member]]
Disclosure of detailed information about biological assets [abstract],DisclosureOfDetailedInformationAboutBiologicalAssetsAbstract,ifrs-full_DisclosureOfDetailedInformationAboutBiologicalAssetsAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of detailed information about biological assets [line items],DisclosureOfDetailedInformationAboutBiologicalAssetsLineItems,ifrs-full_DisclosureOfDetailedInformationAboutBiologicalAssetsLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of detailed information about biological assets [table],DisclosureOfDetailedInformationAboutBiologicalAssetsTable,ifrs-full_DisclosureOfDetailedInformationAboutBiologicalAssetsTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to details of biological assets.
Disclosure of detailed information about biological assets [text block],DisclosureOfDetailedInformationAboutBiologicalAssetsExplanatory,ifrs-full_DisclosureOfDetailedInformationAboutBiologicalAssetsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of detailed information about biological assets. [Refer: Biological assets]
Disclosure of detailed information about borrowings [abstract],DisclosureOfDetailedInformationAboutBorrowingsAbstract,ifrs-full_DisclosureOfDetailedInformationAboutBorrowingsAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of detailed information about borrowings [line items],DisclosureOfDetailedInformationAboutBorrowingsLineItems,ifrs-full_DisclosureOfDetailedInformationAboutBorrowingsLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of detailed information about borrowings [table],DisclosureOfDetailedInformationAboutBorrowingsTable,ifrs-full_DisclosureOfDetailedInformationAboutBorrowingsTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to details of borrowings.
Disclosure of detailed information about borrowings [text block],DisclosureOfDetailedInformationAboutBorrowingsExplanatory,ifrs-full_DisclosureOfDetailedInformationAboutBorrowingsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of detailed information about borrowings. [Refer: Borrowings]
Disclosure of detailed information about business combination [abstract],DisclosureOfBusinessCombinationsAbstract,ifrs-full_DisclosureOfBusinessCombinationsAbstract,true,xbrli:item,xbrli:stringItemType,duration,,true,,
Disclosure of detailed information about business combination [line items],DisclosureOfBusinessCombinationsLineItems,ifrs-full_DisclosureOfBusinessCombinationsLineItems,true,xbrli:item,xbrli:stringItemType,duration,,true,,Line items represent concepts included in a table. These concepts are used to disclose reportable information associated with members defined in one or many axes of the table.
Disclosure of detailed information about business combination [table],DisclosureOfBusinessCombinationsTable,ifrs-full_DisclosureOfBusinessCombinationsTable,true,xbrldt:hypercubeItem,xbrli:stringItemType,duration,,true,,Schedule disclosing information related to details of business combinations.
Disclosure of detailed information about business combination [text block],DisclosureOfDetailedInformationAboutBusinessCombinationsExplanatory,ifrs-full_DisclosureOfDetailedInformationAboutBusinessCombinationsExplanatory,false,xbrli:item,dtr-types:textBlockItemType,duration,,true,,The disclosure of detailed information about business combinations. [Refer: Business combinations [member]]
